Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Below Threshold,1.5-3%,Djibouti,Low,$0,Africa,12/1/2002,2.9%,,400,,,,$1B,$794,5.4%,$42,,0.076,1%,0.113,58,59,56,2%,1,0.398,0.57,0.032,0.7M,76.6%,$0B,$0B
Below Threshold,1.5-3%,Egypt,Moderate,$0,Africa,12/1/2002,2.4%,,127194,,,47162,$88B,"$1,286",6.1%,$74,,0.031,3%,0.138,69,71,67,7%,1,0.342,0.604,0.054,68.3M,42.9%,$4B,$1B
Below Threshold,Above 3%,Equatorial Guinea,Low,$0,Africa,12/1/2002,3.9%,,4980,,,,$2B,"$3,277",1.8%,$71,,0.094,0%,0.18,48,49,47,6%,1,0.419,0.546,0.035,0.6M,38.8%,,
Below Threshold,Above 3%,Eritrea,Low,$0,Africa,12/1/2002,4.0%,,605,,,748,$1B,$170,4.0%,$6,,0.054,0%,,57,59,55,,1,0.454,0.527,0.019,4.3M,18.0%,$0B,
Below Threshold,Above 3%,Ethiopia,Moderate,$0,Africa,12/1/2002,4.2%,,4481,,,26867,$8B,$110,4.7%,$5,,0.083,0%,0.087,54,55,53,0%,1,0.465,0.504,0.031,69.9M,15.1%,$0B,$0B
Below Threshold,Above 3%,Gabon,Low,$0,Africa,12/1/2002,3.3%,,1778,,,1583,$5B,"$3,837",3.7%,$142,,0.054,2%,0.18,60,61,58,22%,1,0.402,0.54,0.058,1.3M,81.6%,$0B,$0B
Below Threshold,Above 3%,"Gambia, The",Low,$0,Africa,12/1/2002,4.5%,,315,,,,$1B,$443,3.8%,$17,,0.061,2%,0.24,56,57,55,8%,1,0.459,0.515,0.026,1.3M,49.7%,,
Below Threshold,Above 3%,Ghana,Friendly,$0,Africa,12/1/2002,3.4%,,7437,,,8264,$6B,$312,4.8%,$15,,0.062,1%,,58,58,57,2%,1,0.409,0.559,0.032,19.8M,45.3%,$0B,$0B
Below Threshold,Above 3%,Guinea,Low,$0,Africa,12/1/2002,4.1%,,1324,,,,$3B,$326,6.1%,$20,,0.095,0%,,51,51,51,1%,1,0.439,0.527,0.034,9.0M,31.7%,,$0B
Below Threshold,Above 3%,Guinea-Bissau,Low,$0,Africa,12/1/2002,4.1%,,154,,,,$0B,$306,5.8%,$17,,0.104,1%,,52,53,51,,1,0.433,0.537,0.03,1.3M,38.3%,$0B,$0B
Below Threshold,Above 3%,Kenya,Moderate,$0,Africa,12/1/2002,3.9%,,7968,,,14454,$13B,$398,4.5%,$18,,0.066,1%,0.185,53,54,52,4%,1,0.435,0.538,0.028,33.0M,20.6%,$1B,$0B
Below Threshold,Above 3%,Lesotho,Moderate,$0,Africa,12/1/2002,3.0%,,,,,,$1B,$348,6.9%,$24,,0.082,1%,0.171,45,45,44,7%,1,0.407,0.547,0.046,1.9M,20.6%,$0B,$0B
Below Threshold,Above 3%,Liberia,Low,$0,Africa,12/1/2002,4.2%,,502,,,,$1B,$175,5.4%,$9,,0.104,0%,0.202,53,54,52,0%,1,0.432,0.537,0.031,3.1M,45.0%,,
Below Threshold,1.5-3%,Libya,Low,$0,Africa,12/1/2002,2.3%,,47832,,,16951,$20B,"$3,716",4.9%,$185,,0.023,2%,0.07,73,74,71,1%,1,0.32,0.64,0.041,5.3M,76.5%,$0B,$1B
Below Threshold,Above 3%,Madagascar,Moderate,$0,Africa,12/1/2002,4.0%,,1236,,,,$4B,$263,5.2%,$14,,0.064,0%,0.253,60,61,59,1%,1,0.454,0.517,0.03,16.7M,27.7%,$0B,$0B
Below Threshold,Above 3%,Malawi,Low,$0,Africa,12/1/2002,4.4%,,884,,,,$3B,$223,4.8%,$11,,0.09,0%,0.505,47,47,47,1%,1,0.461,0.509,0.03,11.9M,14.8%,$0B,$0B
Below Threshold,Above 3%,Mali,Low,$0,Africa,12/1/2002,4.8%,,554,,,,$3B,$307,6.3%,$19,,0.109,0%,,50,50,50,0%,1,0.461,0.506,0.033,10.9M,29.8%,$0B,$0B
Below Threshold,Above 3%,Mauritania,Low,$0,Africa,12/1/2002,3.8%,,1434,,,,$1B,$460,6.0%,$24,,0.076,0%,0.21,60,61,58,9%,1,0.423,0.545,0.032,2.9M,50.8%,,
Below Threshold,1.5-3%,Mauritius,Very Friendly,$0,Africa,12/1/2002,1.7%,,2981,,,,$5B,"$3,939",4.2%,$168,,0.014,10%,0.21,73,76,69,29%,1,0.252,0.685,0.064,1.2M,42.3%,$1B,$0B
Below Threshold,1.5-3%,Morocco,Friendly,$0,Africa,12/1/2002,2.1%,,38254,,,11079,$40B,"$1,379",5.3%,$73,,0.04,2%,0.131,69,70,67,21%,1,0.327,0.625,0.048,29.3M,54.0%,$3B,$1B
Below Threshold,Above 3%,Mozambique,Moderate,$0,Africa,12/1/2002,4.5%,,1588,,,7645,$4B,$217,6.4%,$14,,0.104,0%,0.267,48,49,46,1%,1,0.441,0.527,0.032,19.3M,29.5%,$0B,$0B
Below Threshold,Above 3%,Namibia,Friendly,$0,Africa,12/1/2002,3.1%,,1760,,,1010,$3B,"$1,716",6.2%,$106,,0.049,3%,0.138,54,56,52,8%,1,0.402,0.565,0.033,2.0M,33.8%,$0B,$0B
Below Threshold,Above 3%,Niger,Low,$0,Africa,12/1/2002,5.2%,,814,,,,$2B,$184,7.0%,$12,,0.094,0%,,52,52,52,1%,1,0.483,0.491,0.025,11.8M,16.4%,$0B,$0B
Below Threshold,Above 3%,Nigeria,Moderate,$0,Africa,12/1/2002,4.3%,,98125,,,97389,$59B,$457,3.9%,$18,,0.106,0%,0.248,48,48,47,1%,1,0.434,0.538,0.028,129.2M,36.5%,$0B,$1B
Below Threshold,Above 3%,Rwanda,Friendly,$0,Africa,12/1/2002,4.0%,,689,,,,$2B,$187,4.2%,$8,,0.092,0%,0.164,51,51,50,1%,1,0.459,0.513,0.029,9.0M,16.8%,$0B,$0B
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0,Africa,12/1/2002,3.7%,,59,,,,$0B,$586,10.6%,$59,,0.054,8%,0.374,64,66,62,1%,1,0.429,0.53,0.04,0.1M,55.3%,$0B,$0B
Below Threshold,Above 3%,Senegal,Low,$0,Africa,12/1/2002,4.0%,,4547,,,2632,$5B,$513,5.1%,$26,,0.065,1%,,59,60,57,5%,1,0.447,0.521,0.032,10.4M,40.6%,$0B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$4,688",Africa,12/1/2002,1.8%,,543,,,,$1B,"$8,340",4.4%,$371,,0.012,14%,0.106,73,77,69,54%,1,0.267,0.654,0.079,0.1M,50.5%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0,Africa,12/1/2002,4.3%,,609,,,,$1B,$276,16.0%,$44,,0.136,0%,0.222,40,40,39,2%,1,0.428,0.548,0.024,4.5M,36.1%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,12/1/2002,4.8%,,572,,,,,,,,,0.105,0%,,52,53,50,1%,1,0.475,0.496,0.029,7.8M,34.0%,,
Below Threshold,1.5-3%,South Africa,Very Friendly,$0,Africa,12/1/2002,2.4%,,347687,,,109908,$111B,"$2,423",8.5%,$205,,0.053,7%,0.158,54,55,52,30%,1,0.32,0.643,0.037,45.8M,57.9%,$4B,$2B
Below Threshold,Above 3%,South Sudan,Low,,Africa,12/1/2002,4.1%,,,,,,,,,,,0.1,,,50,51,49,,1,0.445,0.524,0.031,7.2M,16.8%,,
Below Threshold,Above 3%,Sudan,Moderate,$0,Africa,12/1/2002,3.9%,,8119,,,15205,$15B,$507,3.6%,$18,,0.066,0%,,59,61,57,1%,1,0.435,0.535,0.03,29.2M,32.6%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0,Africa,12/1/2002,3.2%,,1126,,,,$1B,"$1,131",5.2%,$58,,0.082,2%,0.153,47,47,46,6%,1,0.435,0.535,0.03,1.1M,22.4%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0,Africa,12/1/2002,4.2%,,3590,,,14916,$11B,$302,3.4%,$10,,0.071,0%,0.164,52,52,51,2%,1,0.447,0.524,0.029,35.8M,23.0%,$1B,$0B
Below Threshold,Above 3%,Togo,Low,$0,Africa,12/1/2002,3.9%,,1232,,,2182,$1B,$288,5.0%,$14,,0.073,1%,,54,55,53,3%,1,0.436,0.536,0.028,5.1M,33.8%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0,Africa,12/1/2002,1.7%,,21016,,,7814,$23B,"$2,366",5.3%,$128,,0.023,5%,,73,75,71,6%,1,0.281,0.656,0.064,9.8M,64.2%,$2B,$0B
Below Threshold,Above 3%,Uganda,Moderate,$0,Africa,12/1/2002,4.8%,,1668,,,,$6B,$238,7.5%,$18,,0.081,0%,0.191,50,50,50,2%,1,0.494,0.48,0.026,25.9M,12.3%,$0B,
Below Threshold,Above 3%,Zambia,Friendly,$0,Africa,12/1/2002,4.5%,,1969,,,6633,$4B,$349,6.7%,$24,,0.091,1%,0.452,44,44,43,1%,1,0.461,0.511,0.027,10.6M,35.4%,$0B,$0B
Below Threshold,Above 3%,Zimbabwe,Low,$0,Africa,12/1/2002,3.2%,,11932,,,9692,$6B,$502,,,,0.059,4%,0.365,43,43,43,3%,1,0.417,0.548,0.035,12.6M,34.6%,$0B,
Below Threshold,Above 3%,Afghanistan,Low,$0,Asia,12/1/2002,4.8%,,359,,,,$4B,$186,8.9%,$14,,0.091,0%,,56,57,55,0%,1,0.495,0.485,0.02,22.2M,21.9%,,
Below Threshold,Below 1.5%,Armenia,Very Friendly,$0,Asia,12/1/2002,1.3%,,3044,,,1876,$2B,$780,5.4%,$42,,0.024,2%,0.211,73,76,69,2%,1,0.241,0.651,0.108,3.0M,64.3%,$0B,$0B
Below Threshold,Below 1.5%,Azerbaijan,Friendly,$0,Asia,12/1/2002,1.4%,,29615,,,11559,$6B,$763,4.5%,$34,,0.053,5%,0.174,68,70,65,10%,1,0.291,0.649,0.06,8.2M,51.8%,$0B,$0B
Below Threshold,1.5-3%,Bangladesh,Moderate,$0,Asia,12/1/2002,2.6%,,33707,,,20756,$48B,$347,3.1%,$11,,0.059,0%,0.16,67,67,66,1%,1,0.359,0.6,0.041,137.0M,24.8%,$0B,$0B
Below Threshold,1.5-3%,Bhutan,Low,$0,Asia,12/1/2002,2.6%,,418,,,,$1B,$897,7.9%,$71,,0.053,2%,0.153,62,62,62,,1,0.38,0.581,0.039,0.6M,27.6%,$0B,
Below Threshold,1.5-3%,Brunei,Friendly,"$14,064",Asia,12/1/2002,2.2%,,5321,,,2157,$6B,"$16,868",3.1%,$526,,0.008,15%,0.055,77,78,75,44%,1,0.298,0.673,0.029,0.3M,72.1%,$0B,$0B
Below Threshold,1.5-3%,Cambodia,Moderate,$0,Asia,12/1/2002,2.7%,,2208,,,3994,$4B,$337,6.4%,$22,,0.069,0%,,64,67,61,3%,1,0.388,0.572,0.04,12.7M,18.8%,$1B,$0B
Below Threshold,Below 1.5%,China,Friendly,$0,Asia,12/1/2002,1.3%,,3694242,,,1253831,"$1,450B","$1,132",4.8%,$54,,0.026,5%,0.053,73,74,72,16%,1,0.236,0.692,0.072,"1,280.4M",38.4%,$22B,$17B
Below Threshold,Below 1.5%,Georgia,Very Friendly,$0,Asia,12/1/2002,1.2%,,3388,,,2544,$3B,$779,8.7%,$64,,0.028,2%,0.236,73,76,69,11%,1,0.205,0.661,0.134,4.4M,52.3%,$0B,$0B
Below Threshold,Below 1.5%,Hong Kong SAR,Very Friendly,"$23,440",Asia,12/1/2002,0.7%,,36952,,,13195,$166B,"$24,614",,,,,43%,0.05,82,85,79,93%,1,0.161,0.724,0.115,6.7M,100.0%,$10B,$12B
Below Threshold,1.5-3%,India,Moderate,$0,Asia,12/1/2002,2.5%,,1226791,,,477540,$524B,$487,4.4%,$21,,0.062,2%,0.119,63,64,62,1%,1,0.334,0.621,0.045,"1,076.7M",28.2%,$3B,$4B
Below Threshold,1.5-3%,Indonesia,Moderate,$0,Asia,12/1/2002,2.1%,,306737,,,164879,$196B,$911,2.2%,$20,,0.038,2%,0.189,68,70,66,5%,1,0.302,0.651,0.048,215.0M,43.6%,$6B,$5B
Below Threshold,Below 1.5%,Japan,Very Friendly,"$28,128",Asia,12/1/2002,0.9%,,1216751,,,510390,"$3,980B","$31,229",7.9%,"$2,455",,0.003,47%,0.019,82,85,78,64%,1,0.142,0.675,0.182,127.4M,81.6%,$6B,$35B
Below Threshold,1.5-3%,Kazakhstan,Friendly,$0,Asia,12/1/2002,1.5%,,151946,,,39679,$25B,"$1,658",3.6%,$61,,0.034,2%,,67,72,61,7%,1,0.263,0.665,0.071,14.9M,55.3%,$1B,$1B
Below Threshold,1.5-3%,North Korea,Not Clustered,,Asia,12/1/2002,1.7%,,76109,,,19566,,,,,,0.034,,,67,70,63,,1,0.256,0.68,0.065,23.2M,59.6%,,
Below Threshold,Below 1.5%,South Korea,Very Friendly,"$9,376",Asia,12/1/2002,1.0%,,465632,,,198667,$609B,"$12,788",4.8%,$581,,0.006,59%,0.068,77,80,73,70%,1,0.203,0.716,0.081,47.6M,80.3%,$8B,$11B
Below Threshold,1.5-3%,Kyrgyzstan,Friendly,$0,Asia,12/1/2002,1.9%,,4848,,,2422,$2B,$322,5.4%,$17,,0.039,3%,0.248,68,72,64,1%,1,0.335,0.609,0.056,5.0M,35.3%,$0B,$0B
Below Threshold,1.5-3%,Laos,Low,$0,Asia,12/1/2002,2.9%,,1177,,,,$2B,$317,4.0%,$13,,0.078,0%,0.293,63,64,62,1%,1,0.425,0.539,0.037,5.5M,24.0%,$0B,$0B
Below Threshold,Below 1.5%,Macao SAR,Not Clustered,"$14,064",Asia,12/1/2002,0.8%,,1525,,,,$7B,"$15,779",,,,,25%,0.061,78,80,76,62%,1,0.208,0.718,0.074,0.4M,100.0%,$4B,$1B
Below Threshold,1.5-3%,Malaysia,Very Friendly,$0,Asia,12/1/2002,2.1%,,135129,,,51009,$101B,"$4,137",3.3%,$138,,0.008,32%,0.065,73,75,71,37%,1,0.321,0.639,0.04,24.4M,63.9%,$8B,$3B
Below Threshold,1.5-3%,Maldives,Friendly,$0,Asia,12/1/2002,2.2%,,689,,,,$1B,"$2,929",5.2%,$152,,0.028,5%,0.135,72,73,70,15%,1,0.385,0.574,0.041,0.3M,30.0%,$0B,$0B
Below Threshold,1.5-3%,Mongolia,Friendly,$0,Asia,12/1/2002,1.9%,,8287,,,2586,$1B,$572,4.8%,$28,,0.044,2%,0.355,64,67,61,9%,1,0.323,0.64,0.037,2.4M,59.3%,$0B,$0B
Below Threshold,1.5-3%,Myanmar,Low,,Asia,12/1/2002,2.0%,,9208,,,12968,,,2.4%,$3,,0.056,0%,0.15,63,65,61,0%,1,0.296,0.656,0.048,49.3M,27.7%,$0B,$0B
Below Threshold,Above 3%,Nepal,Moderate,$0,Asia,12/1/2002,3.1%,,2710,,,8467,$6B,$251,5.6%,$14,,0.054,0%,0.068,63,64,62,0%,1,0.401,0.559,0.04,24.1M,14.3%,$0B,$0B
Below Threshold,1.5-3%,Pakistan,Moderate,$0,Asia,12/1/2002,2.9%,,114084,,,65775,$72B,$483,3.0%,$15,,0.085,3%,,65,65,64,1%,1,0.402,0.558,0.04,149.7M,33.8%,$1B,$0B
Below Threshold,1.5-3%,Philippines,Moderate,$0,Asia,12/1/2002,2.9%,,71338,,,38767,$81B,"$1,005",2.8%,$28,,0.029,4%,0.091,67,70,64,19%,1,0.38,0.587,0.033,81.0M,47.4%,$2B,$2B
Below Threshold,Below 1.5%,Singapore,Very Friendly,"$18,752",Asia,12/1/2002,1.1%,,47231,,,21005,$92B,"$22,017",2.9%,$632,,0.003,47%,0.053,79,81,77,80%,1,0.206,0.717,0.077,4.2M,100.0%,$4B,$8B
Below Threshold,1.5-3%,Sri Lanka,Friendly,$0,Asia,12/1/2002,1.9%,,11008,,,8199,$17B,$904,3.9%,$34,,0.013,1%,0.132,73,76,69,5%,1,0.261,0.673,0.065,18.9M,18.4%,$1B,$0B
Below Threshold,1.5-3%,Tajikistan,Moderate,$0,Asia,12/1/2002,2.9%,,1881,,,2129,$1B,$191,4.5%,$9,,0.066,0%,0.147,65,68,61,0%,1,0.412,0.552,0.036,6.4M,26.4%,$0B,$0B
Below Threshold,Below 1.5%,Thailand,Very Friendly,$0,Asia,12/1/2002,1.4%,,215975,,,82257,$127B,"$1,991",3.7%,$74,,0.018,8%,0.069,72,75,68,27%,1,0.234,0.696,0.07,63.8M,33.8%,$10B,$4B
Below Threshold,Above 3%,Timor-Leste,Low,$0,Asia,12/1/2002,4.0%,,161,,,,$0B,$474,6.1%,$19,,0.076,,,62,63,60,,1,0.497,0.478,0.025,0.9M,25.0%,,
Below Threshold,1.5-3%,Turkmenistan,Not Clustered,$0,Asia,12/1/2002,2.3%,,40245,,,15811,$4B,$970,3.3%,$63,,0.063,0%,,64,68,60,0%,1,0.349,0.607,0.044,4.6M,46.4%,,
Below Threshold,1.5-3%,Uzbekistan,Low,$0,Asia,12/1/2002,2.1%,,126915,,,53188,$10B,$383,5.4%,$21,,0.05,1%,,67,70,64,1%,1,0.357,0.598,0.045,25.3M,37.1%,$0B,
Below Threshold,1.5-3%,Vietnam,Friendly,$0,Asia,12/1/2002,1.7%,,70806,,,33441,$38B,$477,5.1%,$22,,0.026,2%,0.091,74,79,69,2%,1,0.298,0.637,0.065,79.5M,25.5%,,
Below Threshold,1.5-3%,Albania,Friendly,$0,Europe,12/1/2002,1.7%,,3751,,,1975,$4B,"$1,458",6.5%,$89,,0.021,0%,0.153,75,78,72,26%,1,0.29,0.636,0.075,3.1M,43.5%,$0B,$0B
Below Threshold,Below 1.5%,Andorra,Not Clustered,"$18,752",Europe,12/1/2002,1.1%,,532,,,,$1B,"$20,327",5.8%,"$1,486",,0.004,11%,,,,,46%,1,,,,0.1M,91.6%,,
Below Threshold,Below 1.5%,Austria,Very Friendly,"$23,440",Europe,12/1/2002,1.0%,,67179,,,30447,$208B,"$25,736",10.1%,"$2,599",,0.004,37%,,79,82,76,83%,1,0.167,0.677,0.156,8.1M,65.8%,$12B,$8B
Below Threshold,Below 1.5%,Belarus,Friendly,$0,Europe,12/1/2002,0.9%,,52390,,,25262,$15B,"$1,479",6.5%,$96,,0.009,9%,0.369,68,74,62,5%,1,0.172,0.687,0.14,9.9M,70.9%,$0B,$1B
Below Threshold,Below 1.5%,Belgium,Very Friendly,"$23,440",Europe,12/1/2002,1.1%,,107531,,,56375,$253B,"$24,485",8.5%,"$2,075",,0.004,46%,0.077,78,81,75,78%,1,0.174,0.655,0.171,10.3M,97.2%,$8B,$11B
Below Threshold,Below 1.5%,Bosnia and Herzegovina,Moderate,$0,Europe,12/1/2002,0.9%,,22919,,,4407,$7B,"$1,707",7.1%,$122,,0.007,3%,0.127,75,77,73,19%,1,0.197,0.686,0.117,3.9M,39.3%,$0B,$0B
Below Threshold,Below 1.5%,Bulgaria,Friendly,$0,Europe,12/1/2002,0.9%,,44635,,,18861,$16B,"$2,031",7.6%,$154,,0.016,9%,0.092,72,75,69,33%,1,0.148,0.683,0.17,7.9M,69.5%,$1B,$1B
Below Threshold,Below 1.5%,Croatia,Friendly,"$4,688",Europe,12/1/2002,0.9%,,21877,,,8245,$27B,"$5,974",6.3%,$375,,0.007,18%,0.128,75,78,71,52%,1,0.167,0.671,0.163,4.4M,55.9%,$4B,$1B
Below Threshold,Below 1.5%,Cyprus,Very Friendly,"$9,376",Europe,12/1/2002,1.3%,,7022,,,2143,$11B,"$10,774",6.1%,$882,,0.005,28%,0.072,78,80,76,43%,1,0.214,0.682,0.104,1.0M,68.7%,$2B,$1B
Below Threshold,Below 1.5%,Czech Republic,Friendly,"$4,688",Europe,12/1/2002,0.9%,,120193,,,42535,$78B,"$7,691",6.8%,$522,,0.005,24%,0.067,76,79,72,84%,1,0.157,0.704,0.139,10.2M,73.8%,$3B,$2B
Below Threshold,Below 1.5%,Denmark,Very Friendly,"$28,128",Europe,12/1/2002,1.2%,,49266,,,19004,$174B,"$32,366",9.3%,"$3,023",,0.004,64%,0.071,77,79,75,83%,1,0.187,0.664,0.149,5.4M,85.3%,$5B,$6B
Below Threshold,Below 1.5%,Estonia,Very Friendly,"$4,688",Europe,12/1/2002,1.0%,,14936,,,4713,$7B,"$5,310",4.8%,$256,,0.008,42%,0.067,71,77,65,65%,1,0.167,0.674,0.159,1.4M,69.1%,$1B,$0B
Below Threshold,Above 3%,Faeroe Islands,Not Clustered,"$23,440",Europe,12/1/2002,,,763,,,,$1B,"$26,564",,,,,53%,,80,82,77,73%,1,,,,0.0M,38.0%,,
Below Threshold,Below 1.5%,Finland,Very Friendly,"$23,440",Europe,12/1/2002,1.1%,,61078,,,34819,$135B,"$25,959",7.8%,"$2,032",,0.003,62%,0.048,79,82,75,87%,1,0.178,0.669,0.153,5.2M,82.5%,$2B,$2B
Below Threshold,Below 1.5%,France,Very Friendly,"$23,440",Europe,12/1/2002,1.3%,,380840,,,261182,"$1,450B","$23,462",10.6%,"$2,497",,0.004,30%,0.066,80,83,76,64%,1,0.187,0.651,0.162,61.8M,76.4%,$41B,$28B
Below Threshold,Below 1.5%,Germany,Very Friendly,"$23,440",Europe,12/1/2002,0.9%,,828771,,,338553,"$2,010B","$24,367",10.7%,"$2,610",,0.004,49%,0.097,78,81,75,71%,1,0.151,0.676,0.173,82.5M,73.2%,$27B,$59B
Below Threshold,Below 1.5%,Greece,Friendly,"$9,376",Europe,12/1/2002,0.9%,,93670,,,28321,$146B,"$13,292",9.1%,"$1,223",,0.006,15%,0.074,79,81,76,85%,1,0.148,0.676,0.176,11.0M,73.3%,$10B,$2B
Below Threshold,Below 1.5%,Hungary,Friendly,"$4,688",Europe,12/1/2002,1.0%,,56094,,,25601,$66B,"$6,535",7.6%,$495,,0.009,17%,0.102,73,77,68,68%,1,0.163,0.683,0.154,10.2M,65.1%,$4B,$2B
Below Threshold,Below 1.5%,Iceland,Very Friendly,"$28,128",Europe,12/1/2002,1.4%,,2171,,,3285,$9B,"$30,979",10.2%,"$3,156",,0.003,79%,0.154,81,83,79,91%,1,0.228,0.656,0.117,0.3M,92.7%,$0B,$0B
Below Threshold,1.5-3%,Ireland,Very Friendly,"$28,128",Europe,12/1/2002,1.5%,,43762,,,14673,$123B,"$31,282",7.0%,"$2,221",,0.005,26%,0.038,78,80,75,76%,1,0.211,0.678,0.111,3.9M,59.6%,$4B,$4B
Below Threshold,Below 1.5%,Isle of Man,Not Clustered,"$23,440",Europe,12/1/2002,1.1%,,,,,,$2B,"$24,223",,,,,,,79,82,75,,1,,,,0.1M,51.9%,,
Below Threshold,Below 1.5%,Italy,Friendly,"$18,752",Europe,12/1/2002,0.9%,,452632,,,172396,"$1,230B","$21,557",8.2%,"$1,761",,0.004,28%,0.065,80,83,77,94%,1,0.142,0.669,0.189,57.1M,67.4%,$28B,$20B
Below Threshold,1.5-3%,Kosovo,Friendly,$0,Europe,12/1/2002,2.1%,,,,,1894,$3B,"$1,588",,,,,,,68,70,66,,1,,,,1.7M,,,
Below Threshold,Below 1.5%,Latvia,Very Friendly,$0,Europe,12/1/2002,0.9%,,6652,,,4073,$9B,"$4,032",6.3%,$248,,0.013,22%,0.08,71,77,65,40%,1,0.165,0.677,0.158,2.3M,67.9%,$0B,$0B
Below Threshold,Below 1.5%,Liechtenstein,Not Clustered,"$75,008",Europe,12/1/2002,1.2%,,,,,,$3B,"$79,496",,,,,60%,,80,82,77,34%,1,,,,0.0M,14.9%,,
Below Threshold,Below 1.5%,Lithuania,Very Friendly,$0,Europe,12/1/2002,0.9%,,13212,,,8865,$14B,"$4,114",6.4%,$263,,0.009,18%,0.068,72,78,66,48%,1,0.187,0.669,0.144,3.4M,66.8%,$1B,$0B
Below Threshold,Below 1.5%,Luxembourg,Friendly,"$46,880",Europe,12/1/2002,1.2%,,9417,,,3646,$23B,"$50,583",8.3%,"$4,202",,0.003,40%,,79,82,75,107%,1,0.189,0.668,0.143,0.4M,85.3%,$3B,$2B
Below Threshold,Below 1.5%,North Macedonia,Very Friendly,$0,Europe,12/1/2002,1.2%,,10935,,,2527,$4B,"$1,828",9.3%,$170,,0.013,17%,0.184,74,76,71,18%,1,0.213,0.681,0.106,2.1M,58.1%,$0B,$0B
Below Threshold,Below 1.5%,Malta,Friendly,"$9,376",Europe,12/1/2002,1.0%,,2299,,,734,$4B,"$10,850",7.9%,$839,,0.006,29%,0.06,79,81,76,67%,1,0.193,0.69,0.117,0.4M,92.9%,$1B,$0B
Below Threshold,Below 1.5%,Moldova,Friendly,$0,Europe,12/1/2002,1.2%,,3986,,,3096,$2B,$459,8.1%,$37,,0.023,4%,0.235,67,71,63,9%,1,0.219,0.676,0.105,3.6M,45.6%,$0B,$0B
Below Threshold,Above 3%,Monaco,Not Clustered,"$84,384",Europe,12/1/2002,,,,,,,$3B,"$88,996",3.4%,"$2,985",,0.004,48%,,,,,46%,1,,,,0.0M,100.0%,,
Below Threshold,Below 1.5%,Montenegro,Very Friendly,$0,Europe,12/1/2002,1.3%,,,,,,$1B,"$2,098",8.6%,$180,,0.011,,,74,77,71,,1,0.207,0.671,0.121,0.6M,60.6%,,
Below Threshold,Below 1.5%,Netherlands,Very Friendly,"$23,440",Europe,12/1/2002,1.3%,,172364,,,75706,$438B,"$27,123",8.9%,"$2,411",,0.005,61%,0.04,79,81,76,75%,1,0.186,0.677,0.137,16.1M,79.1%,$12B,$14B
Below Threshold,Below 1.5%,Norway,Very Friendly,"$42,192",Europe,12/1/2002,1.2%,,37429,,,24912,$192B,"$42,308",10.4%,"$4,418",,0.004,73%,0.087,80,82,77,84%,1,0.2,0.651,0.149,4.5M,77.0%,$3B,$6B
Below Threshold,Below 1.5%,Poland,Very Friendly,"$4,688",Europe,12/1/2002,0.9%,,296932,,,88855,$198B,"$5,179",6.3%,$328,,0.007,21%,0.12,75,79,70,36%,1,0.18,0.692,0.127,38.2M,61.8%,$5B,$3B
Below Threshold,Below 1.5%,Portugal,Very Friendly,"$9,376",Europe,12/1/2002,1.1%,,66820,,,25824,$132B,"$12,668",9.3%,"$1,190",,0.005,19%,,78,81,74,83%,1,0.159,0.675,0.166,10.4M,55.7%,$7B,$3B
Below Threshold,Below 1.5%,Romania,Friendly,$0,Europe,12/1/2002,1.0%,,92174,,,38140,$46B,"$2,116",4.6%,$97,,0.022,7%,0.354,71,75,67,23%,1,0.174,0.686,0.14,21.7M,52.8%,$0B,$0B
Below Threshold,Below 1.5%,Russia,Moderate,$0,Europe,12/1/2002,1.0%,,1557665,,,623098,$345B,"$2,373",6.0%,$142,,0.018,4%,0.157,66,72,59,12%,1,0.168,0.702,0.13,145.4M,73.3%,$5B,$11B
Below Threshold,Above 3%,San Marino,Friendly,"$28,128",Europe,12/1/2002,,,,,,,$1B,"$31,355",6.5%,"$2,894",,0.004,51%,0.08,82,85,78,60%,1,,,,0.0M,93.9%,,
Below Threshold,Below 1.5%,Serbia,Friendly,$0,Europe,12/1/2002,1.0%,,,,,15891,$15B,"$2,014",8.9%,$179,,0.01,,0.197,73,75,70,,1,0.193,0.672,0.135,7.5M,53.7%,$0B,$0B
